"","MAEList","day"
"1",1.889006,2021-10-02
"2",1.625629,2021-10-03
"3",1.826963,2021-10-04
"4",1.648478,2021-10-05
"5",1.697413,2021-10-06
"6",1.62121,2021-10-07
"7",1.592527,2021-10-08
"8",1.765873,2021-10-09
"9",1.539371,2021-10-10
"10",1.690188,2021-10-11
"11",1.708485,2021-10-12
"12",1.691488,2021-10-13
"13",1.660945,2021-10-14
"14",1.610329,2021-10-15
"15",1.98130155009216,2021-10-16
"16",1.44130087792627,2021-10-17
"17",1.67697537997151,2021-10-18
"18",1.56045170438314,2021-10-19
"19",1.68164777266672,2021-10-20
"20",1.62622335843664,2021-10-21
"21",1.62113058515852,2021-10-22
"22",1.67317549613774,2021-10-23
"23",1.40799117390558,2021-10-24
"24",1.67982886026637,2021-10-25
"25",1.50249868667781,2021-10-26
"26",1.64048209028444,2021-10-27
"27",1.48474618318117,2021-10-28
"28",1.55170108341274,2021-10-29
"29",1.53377238087007,2021-10-30
"30",1.4954899909077,2021-10-31
